Name,Type,Status,Priority,Area,Link to spec,Notes
Storage swipe panels,Feature,Done,High,Navigation,Spec: Storage Areas,"Swipe through fridge, pantry, cupboard, and wine fridge panels."
Fridge/freezer compartment open flow,Feature,Done,High,Fridge UX,Spec: Storage Areas,"Tap fridge to open freezer/fridge compartment selector and editable lists."
Master inventory grouped by category and storage,Feature,Done,High,Inventory,Spec: Inventory Views,"Shows category groups with storage sub-headers; Cooked Food appears first."
Scoped active-area inventory,Feature,Done,High,Inventory,Spec: Inventory Views,"Instock stamp opens inventory scoped to the active storage area."
Expiring Soon earliest-first layout,Feature,Done,High,Expiry,Spec: Expiring Soon,"No category headers; grouped by storage area and sorted by expiry date."
Item add/edit form with storage picker,Feature,Done,High,Items,Spec: Item Add/Edit,"Supports Freezer, Fridge, Pantry, Cupboard, and Wine Fridge without fridge compartment dropdown."
Expiry defaults for freezer and cooked food,Feature,Done,Medium,Items,Spec: Item Add/Edit,"Freezer defaults to 6 months; cooked food defaults to 4 days unless frozen."
Item suggestion history,Feature,Done,Medium,Items,Spec: Item Add/Edit,"Suggestions support fast re-adding and prefill category/storage/notes/photo."
Meal note creation and editing,Feature,Done,High,Kitchen Notes,Spec: Kitchen Notes,"Meal notes can be added and edited from fridge-door notes view and sidebar."
Meal note photo upload quality,Feature,Done,Medium,Photos,Spec: Photos,"Meal note uploads resize to 1080px and render direct photo URLs."
Inventory and polaroid photo upload sizing,Feature,Done,Medium,Photos,Spec: Photos,"Inventory item photos and fridge-door polaroids resize to 500px."
Shopping list with stores and suggestions,Feature,Done,Medium,Shopping,Spec: Shopping List,"Shopping items support store grouping, category, checked state, delete, and suggestions."
Sidebar kitchen log,Feature,Done,Medium,Sidebar,Spec: Kitchen Notes,"Sidebar ordered Expiring Soon, Master Inventory, Shopping List, Weekly Meal Planner, Meal Notes, and History."
Fridge door photo polaroids,Feature,Done,Medium,Fridge Door,Spec: Fridge Door,"Four uploadable polaroids with crop modal portaled above the fridge."
Fridge door magnet decoration,Feature,Done,Low,Fridge Door,Spec: Fridge Door,"Letter magnets, heart magnets, weekly meal planner magnet, and cut-out F-15 magnet are displayed on the door."
Weekly meal planner,Feature,Done,High,Kitchen Notes,Spec: Weekly Meal Planner,"Mon–Sun breakfast/lunch/dinner planner with per-day edit/save, fridge-door magnet, sidebar entry, and Supabase sync."
Storage navigation lock for kitchen overlays,Feature,Done,Medium,Navigation,Spec: Weekly Meal Planner,"Disables storage swipe and hides tab bar while kitchen notes or weekly planner is open."
PWA app icon and manifest,Feature,Done,Low,App Shell,Operational Setup,"Manifest and custom fridge app icon with heart magnet are in place."
Supabase storage area migration,Task,Backlog,High,Database,Operational Setup,"Confirm supabase-storage-areas.sql has been run in production."
Meal notes photo migration,Task,Backlog,High,Database,Operational Setup,"Confirm supabase-meal-notes-photo.sql has been run in production."
Right polaroid database migration,Task,Backlog,High,Database,Operational Setup,"Confirm supabase-fridge-door-right-photo.sql has been run in production."
Weekly meal plan migration,Task,Backlog,High,Database,Operational Setup,"Confirm supabase-weekly-meal-plan.sql has been run in production."
Add smoke tests for core flows,Task,Not Started,Medium,Testing,Spec: Item Add/Edit,"Cover add item, edit item, expiring soon, and sidebar meal note editing."
Validate mobile layout after new magnets/photos,Bug,Not Started,Medium,Mobile UX,Spec: Fridge Door,"Check fridge door decorations, swipe hint, stamps, and photo overlays on small screens."
Handle sidebar note save errors visibly,Bug,Not Started,Medium,Sidebar,Spec: Kitchen Notes,"Sidebar note edit currently returns silently on save errors; surface errors like KitchenNotesView."
Consolidate duplicated notes/shopping logic,Task,Backlog,Low,Refactor,Spec: Kitchen Notes,"Sidebar and KitchenNotesView duplicate note/shopping CRUD logic."
